./blade_send_tone using device at /dev/bladerf0
generating user frequency of 10000.000 Hz
Device /dev/bladerf0 opened successfully
requested 8.000000 Msps, was givin 8.000000 Msps
requested 4.000000 MHz BW, was givin 5.000000 MHz
 radian_rate = 0.007854
 Main Loop Starting.. sending samples..
 Running in debug mode.. 
 PHASE       [ I  ,  Q ]  ( i sample, q sample )
phase=0.007854 [ 0.999969, 0.007854 ]    ( 0x7cf, 0x00f )
phase=0.015708 [ 0.999877, 0.015707 ]    ( 0x7cf, 0x01f )
phase=0.023562 [ 0.999722, 0.023560 ]    ( 0x7cf, 0x02f )
phase=0.031416 [ 0.999507, 0.031411 ]    ( 0x7cf, 0x03e )
phase=0.039270 [ 0.999229, 0.039260 ]    ( 0x7ce, 0x04e )
phase=0.047124 [ 0.998890, 0.047106 ]    ( 0x7cd, 0x05e )
phase=0.054978 [ 0.998489, 0.054950 ]    ( 0x7cc, 0x06d )
phase=0.062832 [ 0.998027, 0.062791 ]    ( 0x7cc, 0x07d )
phase=0.070686 [ 0.997503, 0.070627 ]    ( 0x7cb, 0x08d )
phase=0.078540 [ 0.996917, 0.078459 ]    ( 0x7c9, 0x09c )
phase=0.086394 [ 0.996270, 0.086286 ]    ( 0x7c8, 0x0ac )
phase=0.094248 [ 0.995562, 0.094108 ]    ( 0x7c7, 0x0bc )
phase=0.102102 [ 0.994792, 0.101924 ]    ( 0x7c5, 0x0cb )
phase=0.109956 [ 0.993961, 0.109734 ]    ( 0x7c3, 0x0db )
phase=0.117810 [ 0.993068, 0.117537 ]    ( 0x7c2, 0x0eb )
phase=0.125664 [ 0.992115, 0.125333 ]    ( 0x7c0, 0x0fa )
phase=0.133518 [ 0.991100, 0.133121 ]    ( 0x7be, 0x10a )
phase=0.141372 [ 0.990024, 0.140901 ]    ( 0x7bc, 0x119 )
phase=0.149226 [ 0.988886, 0.148672 ]    ( 0x7b9, 0x129 )
phase=0.157080 [ 0.987688, 0.156434 ]    ( 0x7b7, 0x138 )
phase=0.164934 [ 0.986429, 0.164187 ]    ( 0x7b4, 0x148 )
phase=0.172788 [ 0.985109, 0.171929 ]    ( 0x7b2, 0x157 )
phase=0.180642 [ 0.983729, 0.179661 ]    ( 0x7af, 0x167 )
phase=0.188496 [ 0.982287, 0.187381 ]    ( 0x7ac, 0x176 )
phase=0.196350 [ 0.980785, 0.195090 ]    ( 0x7a9, 0x186 )
phase=0.204204 [ 0.979223, 0.202787 ]    ( 0x7a6, 0x195 )
phase=0.212058 [ 0.977600, 0.210472 ]    ( 0x7a3, 0x1a4 )
phase=0.219911 [ 0.975917, 0.218143 ]    ( 0x79f, 0x1b4 )
phase=0.227765 [ 0.974173, 0.225801 ]    ( 0x79c, 0x1c3 )
phase=0.235619 [ 0.972370, 0.233445 ]    ( 0x798, 0x1d2 )
phase=0.243473 [ 0.970506, 0.241075 ]    ( 0x795, 0x1e2 )
phase=0.251327 [ 0.968583, 0.248690 ]    ( 0x791, 0x1f1 )
phase=0.259181 [ 0.966600, 0.256289 ]    ( 0x78d, 0x200 )
phase=0.267035 [ 0.964557, 0.263873 ]    ( 0x789, 0x20f )
phase=0.274889 [ 0.962455, 0.271440 ]    ( 0x784, 0x21e )
phase=0.282743 [ 0.960294, 0.278991 ]    ( 0x780, 0x22d )
phase=0.290597 [ 0.958073, 0.286525 ]    ( 0x77c, 0x23d )
phase=0.298451 [ 0.955793, 0.294040 ]    ( 0x777, 0x24c )
phase=0.306305 [ 0.953454, 0.301538 ]    ( 0x772, 0x25b )
phase=0.314159 [ 0.951057, 0.309017 ]    ( 0x76e, 0x26a )
phase=0.322013 [ 0.948600, 0.316477 ]    ( 0x769, 0x278 )
phase=0.329867 [ 0.946085, 0.323917 ]    ( 0x764, 0x287 )
phase=0.337721 [ 0.943512, 0.331338 ]    ( 0x75f, 0x296 )
phase=0.345575 [ 0.940881, 0.338738 ]    ( 0x759, 0x2a5 )
phase=0.353429 [ 0.938191, 0.346117 ]    ( 0x754, 0x2b4 )
phase=0.361283 [ 0.935444, 0.353475 ]    ( 0x74e, 0x2c2 )
phase=0.369137 [ 0.932639, 0.360811 ]    ( 0x749, 0x2d1 )
phase=0.376991 [ 0.929776, 0.368125 ]    ( 0x743, 0x2e0 )
phase=0.384845 [ 0.926857, 0.375416 ]    ( 0x73d, 0x2ee )
phase=0.392699 [ 0.923880, 0.382683 ]    ( 0x737, 0x2fd )
phase=0.400553 [ 0.920845, 0.389928 ]    ( 0x731, 0x30b )
phase=0.408407 [ 0.917755, 0.397148 ]    ( 0x72b, 0x31a )
phase=0.416261 [ 0.914607, 0.404344 ]    ( 0x725, 0x328 )
phase=0.424115 [ 0.911403, 0.411514 ]    ( 0x71e, 0x337 )
phase=0.431969 [ 0.908143, 0.418660 ]    ( 0x718, 0x345 )
phase=0.439823 [ 0.904827, 0.425779 ]    ( 0x711, 0x353 )
phase=0.447677 [ 0.901455, 0.432873 ]    ( 0x70a, 0x361 )
